DATE,INFLATION,REPO RATE
1/1/2014,8.6,8
1/2/2014,7.88,8
1/3/2014,8.25,8
1/4/2014,8.48,8
1/5/2014,8.33,8
1/6/2014,6.77,8
1/7/2014,7.39,8
1/8/2014,7.03,8
1/9/2014,5.63,8
1/10/2014,4.62,8
1/11/2014,3.27,8
1/12/2014,4.28,8
1/1/2015,5.19,7.75
1/2/2015,5.37,7.75
1/3/2015,5.25,7.5
1/4/2015,4.87,7.5
1/5/2015,5.01,7.5
1/6/2015,5.4,7.25
1/7/2015,3.69,7.25
1/8/2015,3.74,7.25
1/9/2015,4.41,6.75
1/10/2015,5,6.75
1/11/2015,5.41,6.75
1/12/2015,5.61,6.75
1/1/2016,5.69,6.75
1/2/2016,5.26,6.75
1/3/2016,4.83,6.75
1/4/2016,5.47,6.5
1/5/2016,5.76,6.5
1/6/2016,5.77,6.5
1/7/2016,6.07,6.5
1/8/2016,5.05,6.5
1/9/2016,4.39,6.5
1/10/2016,4.2,6.25
1/11/2016,3.63,6.25
1/12/2016,3.41,6.25
1/1/2017,3.17,6.25
1/2/2017,3.65,6.25
1/3/2017,3.89,6.25
1/4/2017,2.99,6.25
1/5/2017,2.18,6.25
1/6/2017,1.46,6.25
1/7/2017,2.36,6.25
1/8/2017,3.28,6
1/9/2017,3.28,6
1/10/2017,3.58,6
1/11/2017,4.88,6
1/12/2017,5.21,6
1/1/2018,5.07,6
1/2/2018,4.44,6
1/3/2018,4.28,6
1/4/2018,4.58,6
1/5/2018,4.87,6
1/6/2018,4.92,6.25
1/7/2018,4.17,6.25
1/8/2018,3.69,6.5
1/9/2018,3.7,6.5
1/10/2018,3.38,6.5
1/11/2018,2.33,6.5
1/12/2018,2.11,6.5
1/1/2019,1.97,6.5
1/2/2019,2.57,6.25
1/3/2019,2.86,6.25
1/4/2019,2.99,6
1/5/2019,3.05,6
1/6/2019,3.18,5.75
1/7/2019,3.15,5.75
1/8/2019,3.28,5.4
1/9/2019,3.99,5.4
1/10/2019,4.62,5.4
1/11/2019,5.54,5.4
1/12/2019,7.35,5.4
1/1/2020,7.59,5.4
1/2/2020,6.58,5.15
1/3/2020,5.84,4.4
1/4/2020,,4.4
1/5/2020,,4
1/6/2020,6.23,4
1/7/2020,6.73,4
1/8/2020,6.69,4
1/9/2020,7.27,4
1/10/2020,7.61,4
1/11/2020,6.93,4
1/12/2020,4.59,4
1/1/2021,4.06,4
1/2/2021,5.03,4
1/3/2021,5.52,4
1/4/2021,4.23,4
1/5/2021,6.3,4
1/6/2021,6.26,4
1/7/2021,5.59,4
1/8/2021,5.3,4
1/9/2021,4.35,4
1/10/2021,4.48,4
1/11/2021,4.91,4
1/12/2021,5.66,4
1/1/2022,6.01,4
1/2/2022,6.07,4
1/3/2022,6.95,4
1/4/2022,7.79,4
1/5/2022,7.04,4.4
1/6/2022,7.01,4.9
1/7/2022,6.71,4.9
1/8/2022,7,5.4
1/9/2022,7.41,5.9
1/10/2022,6.77,5.9
1/11/2022,5.88,5.9
1/12/2022,5.72,6.25
1/1/2023,6.52,6.25
1/2/2023,6.44,6.5
1/3/2023,5.66,6.5
1/4/2023,4.7,6.5
1/5/2023,4.31,6.5
1/6/2023,4.87,6.5
1/7/2023,7.44,6.5
1/8/2023,6.83,6.5
1/9/2023,5.02,6.5
1/10/2023,4.87,6.5
1/11/2023,5.55,6.5
1/12/2023,5.69,6.5
1/1/2024,5.1,6.5
1/2/2024,5.09,6.5
1/3/2024,4.85,6.5
1/4/2024,4.83,6.5
1/5/2024,4.8,6.5
1/6/2024,5.08,6.5
1/7/2024,3.6,6.5
1/8/2024,3.65,6.5
1/9/2024,5.49,6.5
1/10/2024,6.21,6.5
1/11/2024,5.48,6.5
1/12/2024,5.22,6.5
1/1/2025,4.26,6.5
1/2/2025,3.61,6.25
1/3/2025,3.34,6.25
1/4/2025,3.16,6
1/5/2025,2.82,6
1/6/2025,2.1,5.5
1/7/2025,1.61,5.5
1/8/2025,2.07,5.5
1/9/2025,1.44,5.5
1/10/2025,0.25,5.5
1/11/2025,0.71,5.5
1/12/2025,1.33,5.25
